categoryName,name,description,vehicleType,order,icon,image
688c02b2df9078b46ff2cca4,Bomba de agua + Kit de distribución,Kit completo de bomba de agua y distribución,car,1,water-pump,
688c02b2df9078b46ff2cca4,KIT DE DISTRIBUCIÓN,Kit completo de distribución del motor,car,2,timing-belt,
688c02b2df9078b46ff2cca4,KIT DE MONTAJE DE LA CADENA DE DISTRIBUCIÓN,Kit de montaje para cadena de distribución,car,3,timing-chain,
688c02b2df9078b46ff2cca4,TACO DE MOTOR,Taco de soporte del motor,car,4,engine-mount,
688c02b2df9078b46ff2cca4,CORREA DE DISTRIBUCIÓN,Correa de distribución del motor,car,5,timing-belt,
688c02b2df9078b46ff2cca4,CORREA POLY V,Correa poly V del motor,car,6,poly-v-belt,
688c02b2df9078b46ff2cca4,KIT DE CORREA POLY V,Kit completo de correa poly V,car,7,poly-v-kit,
688c02b2df9078b46ff2cca4,POLEA TENSORA CORREA DENTADA,Polea tensora para correa dentada,car,8,tensioner,
688c02b2df9078b46ff2cca4,VÁLVULA DE CONTROL DEL ÁRBOL DE LEVAS,Válvula de control del árbol de levas,car,9,valve,
688c02b2df9078b46ff2cca4,PIÑON DEL ÁRBOL DE LEVAS,Piñón del árbol de levas,car,10,gear,
688c02b2df9078b46ff2cca4,CADENA DE DISTRIBUCÍON,Cadena de distribución del motor,car,11,timing-chain,
688c02b2df9078b46ff2cca4,TENSOR DE CADENA DE DISTRIBUCIÓN,Tensor de cadena de distribución,car,12,tensioner,
688c02b2df9078b46ff2cca4,AJUSTADOR ÁRBOL DE LEVAS,Ajustador del árbol de levas,car,13,adjuster,
688c02b2df9078b46ff2cca4,POLEA INVERSIÓN / GUÍA CORREA DE DISTRIBUCÍON,Polea de inversión y guía para correa de distribución,car,14,pulley,
688c02b2df9078b46ff2cca4,TURBOCOMPRESOR,Turbocompresor del motor,car,15,turbo,
688c02b2df9078b46ff2cca4,CAUDALÍMETRO,Caudalímetro del motor,car,16,flow-meter,
688c02b2df9078b46ff2cca4,CUERPO DE MARAPISO,Cuerpo de mariposa,car,17,throttle-body,
688c02b2df9078b46ff2cca4,INTERCOOLER,Intercooler del motor,car,18,intercooler,
688c02b2df9078b46ff2cca4,CARRIL DE DESLIZAMIENTO,Carril de deslizamiento,car,19,rail,
688c02b2df9078b46ff2cca4,RUEDA DENTADA CIGÜEÑAL,Rueda dentada del cigüeñal,car,20,gear,
688c02b2df9078b46ff2cca4,TENSOR DE LA CORREA DE DISTRIBUCIÓN,Tensor de la correa de distribución,car,21,tensioner,
688c02b2df9078b46ff2cca4,JUNTA DE TAPA DE BALANCINES,Junta de tapa de balancines,car,22,gasket,
688c02b2df9078b46ff2cca4,JUNTA DE CULATA,Junta de culata del motor,car,23,head-gasket,
688c02b2df9078b46ff2cca4,TAQUÉS HIDRÁULICOS,Taqués hidráulicos,car,24,tappet,
688c02b2df9078b46ff2cca4,RETENES DE VALVULAS,Retenes de válvulas,car,25,seal,
688c02b2df9078b46ff2cca4,TORNILLOS DE CULATA,Tornillos de culata,car,26,bolt,
688c02b2df9078b46ff2cca4,BALANCINES,Balancines del motor,car,27,rocker,
688c02b2df9078b46ff2cca4,VÁLVULA DE ESCAPE,Válvula de escape,car,28,valve,
688c02b2df9078b46ff2cca4,VÁLVULA DE ADMISIÓN,Válvula de admisión,car,29,valve,
688c02b2df9078b46ff2cca4,JUNTA DE VÁLVULAS Y GUIA DE VÁVULAS AJUSTES DE,Junta de válvulas y guía de válvulas,car,30,gasket,
688c02b2df9078b46ff2cca4,ARBBOL DE LEVAS,Árbol de levas,car,31,camshaft,
688c02b2df9078b46ff2cca4,RETÉN DE ÁRBOL DE LEVAS,Retén del árbol de levas,car,32,seal,
688c02b2df9078b46ff2cca4,TAPA DE LLENADO DE ACEITE,Tapa de llenado de aceite,car,33,cap,
688c02b2df9078b46ff2cca4,SEMICONO DE FIJACIÓN DE LA VÁLVULA,Semicono de fijación de la válvula,car,34,cone,
