categoryId,name,description,vehicleType,order,icon,image
688be19c6ac83beacbf4fb3c,Bomba de agua + Kit de distribución,Kit completo de bomba de agua y distribución,car,1,water-pump,
688be19c6ac83beacbf4fb3c,KIT DE DISTRIBUCIÓN,Kit completo de distribución del motor,car,2,timing-belt,
688be19c6ac83beacbf4fb3c,KIT DE MONTAJE DE LA CADENA DE DISTRIBUCIÓN,Kit de montaje para cadena de distribución,car,3,timing-chain,
688be19c6ac83beacbf4fb3c,TACO DE MOTOR,Taco de soporte del motor,car,4,engine-mount,
688be19c6ac83beacbf4fb3c,CORREA DE DISTRIBUCIÓN,Correa de distribución del motor,car,5,timing-belt,
688be19c6ac83beacbf4fb3c,CORREA POLY V,Correa poly V del motor,car,6,poly-v-belt,
688be19c6ac83beacbf4fb3c,KIT DE CORREA POLY V,Kit completo de correa poly V,car,7,poly-v-kit,
688be19c6ac83beacbf4fb3c,POLEA TENSORA CORREA DENTADA,Polea tensora para correa dentada,car,8,tensioner,
688be19c6ac83beacbf4fb3c,VÁLVULA DE CONTROL DEL ÁRBOL DE LEVAS,Válvula de control del árbol de levas,car,9,valve,
688be19c6ac83beacbf4fb3c,PIÑON DEL ÁRBOL DE LEVAS,Piñón del árbol de levas,car,10,gear,
688be19c6ac83beacbf4fb3c,CADENA DE DISTRIBUCÍON,Cadena de distribución del motor,car,11,timing-chain,
688be19c6ac83beacbf4fb3c,TENSOR DE CADENA DE DISTRIBUCIÓN,Tensor de cadena de distribución,car,12,tensioner,
688be19c6ac83beacbf4fb3c,AJUSTADOR ÁRBOL DE LEVAS,Ajustador del árbol de levas,car,13,adjuster,
688be19c6ac83beacbf4fb3c,POLEA INVERSIÓN / GUÍA CORREA DE DISTRIBUCÍON,Polea de inversión y guía para correa de distribución,car,14,pulley,
688be19c6ac83beacbf4fb3c,TURBOCOMPRESOR,Turbocompresor del motor,car,15,turbo,
688be19c6ac83beacbf4fb3c,CAUDALÍMETRO,Caudalímetro del motor,car,16,flow-meter,
688be19c6ac83beacbf4fb3c,CUERPO DE MARAPISO,Cuerpo de mariposa,car,17,throttle-body,
688be19c6ac83beacbf4fb3c,INTERCOOLER,Intercooler del motor,car,18,intercooler,
688be19c6ac83beacbf4fb3c,CARRIL DE DESLIZAMIENTO,Carril de deslizamiento,car,19,rail,
688be19c6ac83beacbf4fb3c,RUEDA DENTADA CIGÜEÑAL,Rueda dentada del cigüeñal,car,20,gear,
688be19c6ac83beacbf4fb3c,TENSOR DE LA CORREA DE DISTRIBUCIÓN,Tensor de la correa de distribución,car,21,tensioner,
