categoryId,name,description,vehicleType,order,icon,image
688bf07e20d85dee52256328,Bomba de agua + Kit de distribución,Kit completo de bomba de agua y distribución,car,1,water-pump,
688bf07e20d85dee52256328,KIT DE DISTRIBUCIÓN,Kit completo de distribución del motor,car,2,timing-belt,
688bf07e20d85dee52256328,KIT DE MONTAJE DE LA CADENA DE DISTRIBUCIÓN,Kit de montaje para cadena de distribución,car,3,timing-chain,
688bf07e20d85dee52256328,TACO DE MOTOR,Taco de soporte del motor,car,4,engine-mount,
688bf07e20d85dee52256328,CORREA DE DISTRIBUCIÓN,Correa de distribución del motor,car,5,timing-belt,
688bf07e20d85dee52256328,CORREA POLY V,Correa poly V del motor,car,6,poly-v-belt,
688bf07e20d85dee52256328,KIT DE CORREA POLY V,Kit completo de correa poly V,car,7,poly-v-kit,
688bf07e20d85dee52256328,POLEA TENSORA CORREA DENTADA,Polea tensora para correa dentada,car,8,tensioner,
688bf07e20d85dee52256328,VÁLVULA DE CONTROL DEL ÁRBOL DE LEVAS,Válvula de control del árbol de levas,car,9,valve,
688bf07e20d85dee52256328,PIÑON DEL ÁRBOL DE LEVAS,Piñón del árbol de levas,car,10,gear,
688bf07e20d85dee52256328,CADENA DE DISTRIBUCÍON,Cadena de distribución del motor,car,11,timing-chain,
688bf07e20d85dee52256328,TENSOR DE CADENA DE DISTRIBUCIÓN,Tensor de cadena de distribución,car,12,tensioner,
688bf07e20d85dee52256328,AJUSTADOR ÁRBOL DE LEVAS,Ajustador del árbol de levas,car,13,adjuster,
688bf07e20d85dee52256328,POLEA INVERSIÓN / GUÍA CORREA DE DISTRIBUCÍON,Polea de inversión y guía para correa de distribución,car,14,pulley,
688bf07e20d85dee52256328,TURBOCOMPRESOR,Turbocompresor del motor,car,15,turbo,
688bf07e20d85dee52256328,CAUDALÍMETRO,Caudalímetro del motor,car,16,flow-meter,
688bf07e20d85dee52256328,CUERPO DE MARAPISO,Cuerpo de mariposa,car,17,throttle-body,
688bf07e20d85dee52256328,INTERCOOLER,Intercooler del motor,car,18,intercooler,
688bf07e20d85dee52256328,CARRIL DE DESLIZAMIENTO,Carril de deslizamiento,car,19,rail,
688bf07e20d85dee52256328,RUEDA DENTADA CIGÜEÑAL,Rueda dentada del cigüeñal,car,20,gear,
688bf07e20d85dee52256328,TENSOR DE LA CORREA DE DISTRIBUCIÓN,Tensor de la correa de distribución,car,21,tensioner,
688bf07e20d85dee52256328,JUNTA DE TAPA DE BALANCINES,Junta de tapa de balancines,car,22,gasket,
688bf07e20d85dee52256328,JUNTA DE CULATA,Junta de culata del motor,car,23,head-gasket,
688bf07e20d85dee52256328,TAQUÉS HIDRÁULICOS,Taqués hidráulicos,car,24,tappet,
688bf07e20d85dee52256328,RETENES DE VALVULAS,Retenes de válvulas,car,25,seal,
688bf07e20d85dee52256328,TORNILLOS DE CULATA,Tornillos de culata,car,26,bolt,
688bf07e20d85dee52256328,BALANCINES,Balancines del motor,car,27,rocker,
688bf07e20d85dee52256328,VÁLVULA DE ESCAPE,Válvula de escape,car,28,valve,
688bf07e20d85dee52256328,VÁLVULA DE ADMISIÓN,Válvula de admisión,car,29,valve,
688bf07e20d85dee52256328,JUNTA DE VÁLVULAS Y GUIA DE VÁVULAS AJUSTES DE,Junta de válvulas y guía de válvulas,car,30,gasket,
688bf07e20d85dee52256328,ARBBOL DE LEVAS,Árbol de levas,car,31,camshaft,
688bf07e20d85dee52256328,RETÉN DE ÁRBOL DE LEVAS,Retén del árbol de levas,car,32,seal,
688bf07e20d85dee52256328,TAPA DE LLENADO DE ACEITE,Tapa de llenado de aceite,car,33,cap,
688bf07e20d85dee52256328,SEMICONO DE FIJACIÓN DE LA VÁLVULA,Semicono de fijación de la válvula,car,34,cone,
688bf07e20d85dee52256328,CULATA,Culata del motor,car,35,cylinder-head,
688bf07e20d85dee52256328,TAPA DE BALANCINES,Tapa de balancines,car,36,cover,
688bf07e20d85dee52256328,COJINETES DEL ÁRBOL DE LEVAS,Cojinetes del árbol de levas,car,37,bearing,
688bf07e20d85dee52256328,RETÉN DE CIGÜEÑAL,Retén del cigüeñal,car,38,seal,
688bf07e20d85dee52256328,SEGMENTOS DE PISTON,Segmentos de pistón,car,39,piston-ring,
688bf07e20d85dee52256328,JUEGOS DE JUNTAS DE MOTOR,Juegos de juntas del motor,car,40,gasket-set,
688bf07e20d85dee52256328,PISTÓNS,Pistones del motor,car,41,piston,
688bf07e20d85dee52256328,JUEGO COMPLETO DE JUNTAS DE MOTOR,Juego completo de juntas del motor,car,42,gasket-set,
688bf07e20d85dee52256328,VOLANTE BIMASA,Volante bimasa,car,43,flywheel,
688bf07e20d85dee52256328,APOYO DEL CIGÜEÑAL,Apoyo del cigüeñal,car,44,bearing,
688bf07e20d85dee52256328,DISCOS DEL CIGÜEÑAL,Discos del cigüeñal,car,45,disk,
688bf07e20d85dee52256328,BLOQUE MOTOR,Bloque del motor,car,46,engine-block,
688bf07e20d85dee52256328,ACEITE DE MOTOR,Aceite para el motor,car,47,oil,
688bf07e20d85dee52256328,CÉRTER DE ACEITE,Cárter de aceite,car,48,oil-pan,
688bf07e20d85dee52256328,TAPON DE CÁRTER,Tapón del cárter,car,49,plug,
688bf07e20d85dee52256328,BOMBA DE ACEITE,Bomba de aceite del motor,car,50,oil-pump,
688bf07e20d85dee52256328,ARANDELA DE TAPON DE CÉRTER,Arandela del tapón del cárter,car,51,washer,
688bf07e20d85dee52256328,VARILLA DE ACEITE,Varilla de aceite,car,52,dipstick,
688bf07e20d85dee52256328,JUNTA DEL CÁRTER,Junta del cárter,car,53,gasket,
688bf07e20d85dee52256328,SENSOR DE PRESIÓN DE ACEITE,Sensor de presión de aceite,car,54,sensor,
688bf07e20d85dee52256328,ENFRIADOR DE ACEITE,Enfriador de aceite,car,55,oil-cooler,
688bf07e20d85dee52256328,SENSOR DEL NIVEL DE ACEITE DEL MOTOR,Sensor del nivel de aceite del motor,car,56,sensor,
688bf07e20d85dee52256328,TUBO DE ASPIRACÓN DE BOMBA DEL ACEITE,Tubo de aspiración de la bomba de aceite,car,57,tube,
688bf07e20d85dee52256328,CORREA TRAPEZOIDAL,Correa trapezoidal,car,58,belt,
688bf07e20d85dee52256328,POLEA TENSORA CORREA DENTADA,Polea tensora para correa dentada,car,59,tensioner,
688bf07e20d85dee52256328,TENSOR DE CORREA,Tensor de correa,car,60,tensioner,
688bf07e20d85dee52256328,POLEA DE INVERSIÓN,Polea de inversión,car,61,pulley,
688bf07e20d85dee52256328,JUNTA DE TURBOCOMPRESOR,Junta del turbocompresor,car,62,gasket,
688bf07e20d85dee52256328,TRANSDUCTOR DE PRESIÓN,Transductor de presión,car,63,transducer,
688bf07e20d85dee52256328,MANGUERA TURBO,Manguera del turbo,car,64,hose,
688bf07e20d85dee52256328,SENSOR DE PRESIÓN DE ADMISIÓN,Sensor de presión de admisión,car,65,sensor,
688bf07e20d85dee52256328,SENSOR DE PRESIÓN DEL AIRE DE ADMISIÓN,Sensor de presión del aire de admisión,car,66,sensor,
688bf07e20d85dee52256328,CABLE DEL ACELERADOR,Cable del acelerador,car,67,cable,
688bf07e20d85dee52256328,VÁLVULA DE ALIVIO,Válvula de alivio,car,68,valve,
688bf07e20d85dee52256328,BOMBA DE AGUA,Bomba de agua del motor,car,69,water-pump,
688bf07e20d85dee52256328,TERMOSTATO,Termostato del motor,car,70,thermostat,
688bf07e20d85dee52256328,RADIADOR DE MOTOR,Radiador del motor,car,71,radiator,
688bf07e20d85dee52256328,JUEGO DE MONTAJE TURBOCOMPRESOR,Juego de montaje del turbocompresor,car,72,turbo-kit,
688bf07e20d85dee52256328,VASO DE EXPASIÓN,Vaso de expansión,car,73,expansion-tank,
688bf07e20d85dee52256328,SENSOR DE TEMPERATURA DEL REFRIGERANTE,Sensor de temperatura del refrigerante,car,74,sensor,
688bf07e20d85dee52256328,ANTICOGELNATE,Anticongelante,car,75,antifreeze,
688bf07e20d85dee52256328,VENTILADOR DEL RADIADOR,Ventilador del radiador,car,76,fan,
688bf07e20d85dee52256328,TAPA DE DEPOSITO DE AGUA,Tapa del depósito de agua,car,77,cap,
688bf07e20d85dee52256328,MANGUITOS DE RADIADOR,Manguitos del radiador,car,78,hose,
688bf07e20d85dee52256328,JUNTA DE AGUA REFRIGERANTE,Junta de agua refrigerante,car,79,gasket,
688bf07e20d85dee52256328,EMBRAGUE DEL VENTILADOR,Embrague del ventilador,car,80,clutch,
688bf07e20d85dee52256328,TERMOCONTACTO VENTILADO,Termocontacto ventilado,car,81,thermo-switch,
688bf07e20d85dee52256328,BOBINA DE ENCENDIDO,Bobina de encendido,car,82,ignition-coil,
688bf07e20d85dee52256328,BUJÍA DE ENCENDIDO,Bujía de encendido,car,83,spark-plug,
688bf07e20d85dee52256328,BUJÍA DE PRECALENTAMIENTO,Bujía de precalentamiento,car,84,glow-plug,
688bf07e20d85dee52256328,SENSOR DE ARBOL DE LEVAS,Sensor del árbol de levas,car,85,sensor,
688bf07e20d85dee52256328,CABLES DE BUJÍAS,Cables de bujías,car,86,spark-plug-wire,
688bf07e20d85dee52256328,SENSOR DE CIGÜEÑAL,Sensor del cigüeñal,car,87,sensor,
688bf07e20d85dee52256328,TAPA DE DELCO,Tapa del delco,car,88,cap,
688bf07e20d85dee52256328,ROTOR DE DISTRIBUCIÓN,Rotor de distribución,car,89,rotor,
688bf07e20d85dee52256328,FILTRO DE ACEITE,Filtro de aceite,car,90,oil-filter,
688bf07e20d85dee52256328,FILTRO DE AIRE,Filtro de aire,car,91,air-filter,
688bf07e20d85dee52256328,FILTRO DE COMBUSTIBLE,Filtro de combustible,car,92,fuel-filter,
688bf07e20d85dee52256328,SISTEMA DE VENTILACIÓN DE CÁRTER,Sistema de ventilación del cárter,car,93,ventilation,
688bf07e20d85dee52256328,JUNTA DE COLECTOR DE ADMISIÓN,Junta del colector de admisión,car,94,gasket,
688bf07e20d85dee52256328,JUNTA DE COLECTOR DE ESCAPE,Junta del colector de escape,car,95,gasket,
688bf07e20d85dee52256328,COLECTORES DE ADMISIÓN,Colectores de admisión,car,96,manifold,
688bf07e20d85dee52256328,VÁLVULA DE REGULACIÓN DEL AIRE DE ADMISIÓN,Válvula de regulación del aire de admisión,car,97,valve,
688bf07e20d85dee52256328,SISTEMA ELÉCTRICO DEL MOTOR,Sistema eléctrico del motor,car,98,electrical,
688bf07e20d85dee52256328,SONDA LAMBDA,Sonda lambda,car,99,lambda-sensor,
688bf07e20d85dee52256328,JUNTA INYECTOR,Junta del inyector,car,100,gasket,
688bf07e20d85dee52256328,BOMBA DE INYECCIÓN,Bomba de inyección,car,101,injection-pump,
688bf07e20d85dee52256328,REGULADOR DE PRESIÓN DE COMBUSTIBLE,Regulador de presión de combustible,car,102,pressure-regulator,
688bf07e20d85dee52256328,VÁLVULA EGR,Válvula EGR,car,103,egr-valve,
688bf07e20d85dee52256328,REFRIGERADOR DE GAS DE ESCAPE,Refrigerador de gas de escape,car,104,exhaust-cooler,
688bf07e20d85dee52256328,POLEA DE CIGÜEÑAL,Polea del cigüeñal,car,105,pulley,
688bf07e20d85dee52256328,TORNILLO DE LA POLEA,Tornillo de la polea,car,106,bolt,
688bf07e20d85dee52256328,DEPRESOR DE FRENO,Depresor de freno,car,107,brake-booster,
688bf07e20d85dee52256328,SELLADOR PARA EL BLOQUE DEL MOTOR,Sellador para el bloque del motor,car,108,sealant,
688bf07e20d85dee52256328,SELLADOR DE USO GENERAL,Sellador de uso general,car,109,sealant,
688bf07e20d85dee52256328,FIJADORES DE ROSCA,Fijadores de rosca,car,110,thread-locker,
688bf07e20d85dee52256328,PRODUCTOS DE LIMPIEZA DEL MOTOR Y SISTEMA,Productos de limpieza del motor y sistema,car,111,cleaner,
688bf07e20d85dee52256328,TINTURA DE DETECCIÓN DE FUGAS,Tintura de detección de fugas,car,112,leak-detector,
688bf07e20d85dee52256328,PRODUCTO RECTIFICADOR DE VÁLVULAS,Producto rectificador de válvulas,car,113,valve-grinding,
688bf07e20d85dee52256328,SPRAYS Y AEROSOLES TÉCNICOS,Sprays y aerosoles técnicos,car,114,spray,
688bf07e20d85dee52256328,PINTUA DEL MOTOR Y ALTA TEMPERATURA,Pintura del motor y alta temperatura,car,115,high-temp-paint,
