categoryName,name,description,vehicleType,order,icon,image
Motor,Bomba de agua + Kit de distribución,Kit completo de bomba de agua y distribución,car,1,water-pump,
Motor,KIT DE DISTRIBUCIÓN,Kit completo de distribución del motor,car,2,timing-belt,
Motor,KIT DE MONTAJE DE LA CADENA DE DISTRIBUCIÓN,Kit de montaje para cadena de distribución,car,3,timing-chain,
Motor,TACO DE MOTOR,Taco de soporte del motor,car,4,engine-mount,
Motor,CORREA DE DISTRIBUCIÓN,Correa de distribución del motor,car,5,timing-belt,
Motor,CORREA POLY V,Correa poly V del motor,car,6,poly-v-belt,
Motor,KIT DE CORREA POLY V,Kit completo de correa poly V,car,7,poly-v-kit,
Motor,POLEA TENSORA CORREA DENTADA,Polea tensora para correa dentada,car,8,tensioner,
Motor,VÁLVULA DE CONTROL DEL ÁRBOL DE LEVAS,Válvula de control del árbol de levas,car,9,valve,
Motor,PIÑON DEL ÁRBOL DE LEVAS,Piñón del árbol de levas,car,10,gear,
Motor,CADENA DE DISTRIBUCÍON,Cadena de distribución del motor,car,11,timing-chain,
Motor,TENSOR DE CADENA DE DISTRIBUCIÓN,Tensor de cadena de distribución,car,12,tensioner,
Motor,AJUSTADOR ÁRBOL DE LEVAS,Ajustador del árbol de levas,car,13,adjuster,
Motor,POLEA INVERSIÓN / GUÍA CORREA DE DISTRIBUCÍON,Polea de inversión y guía para correa de distribución,car,14,pulley,
Motor,TURBOCOMPRESOR,Turbocompresor del motor,car,15,turbo,
Motor,CAUDALÍMETRO,Caudalímetro del motor,car,16,flow-meter,
Motor,CUERPO DE MARAPISO,Cuerpo de mariposa,car,17,throttle-body,
Motor,INTERCOOLER,Intercooler del motor,car,18,intercooler,
Motor,CARRIL DE DESLIZAMIENTO,Carril de deslizamiento,car,19,rail,
Motor,RUEDA DENTADA CIGÜEÑAL,Rueda dentada del cigüeñal,car,20,gear,
Motor,TENSOR DE LA CORREA DE DISTRIBUCIÓN,Tensor de la correa de distribución,car,21,tensioner,
Motor,JUNTA DE TAPA DE BALANCINES,Junta de tapa de balancines,car,22,gasket,
Motor,JUNTA DE CULATA,Junta de culata del motor,car,23,head-gasket,
Motor,TAQUÉS HIDRÁULICOS,Taqués hidráulicos,car,24,tappet,
Motor,RETENES DE VALVULAS,Retenes de válvulas,car,25,seal,
Motor,TORNILLOS DE CULATA,Tornillos de culata,car,26,bolt,
Motor,BALANCINES,Balancines del motor,car,27,rocker,
Motor,VÁLVULA DE ESCAPE,Válvula de escape,car,28,valve,
Motor,VÁLVULA DE ADMISIÓN,Válvula de admisión,car,29,valve,
Motor,JUNTA DE VÁLVULAS Y GUIA DE VÁVULAS AJUSTES DE,Junta de válvulas y guía de válvulas,car,30,gasket,
Motor,ARBBOL DE LEVAS,Árbol de levas,car,31,camshaft,
Motor,RETÉN DE ÁRBOL DE LEVAS,Retén del árbol de levas,car,32,seal,
Motor,TAPA DE LLENADO DE ACEITE,Tapa de llenado de aceite,car,33,cap,
Motor,SEMICONO DE FIJACIÓN DE LA VÁLVULA,Semicono de fijación de la válvula,car,34,cone,
Motor,CULATA,Culata del motor,car,35,cylinder-head,
Motor,TAPA DE BALANCINES,Tapa de balancines,car,36,cover,
Motor,COJINETES DEL ÁRBOL DE LEVAS,Cojinetes del árbol de levas,car,37,bearing,
Motor,RETÉN DE CIGÜEÑAL,Retén del cigüeñal,car,38,seal,
Motor,SEGMENTOS DE PISTON,Segmentos de pistón,car,39,piston-ring,
Motor,JUEGOS DE JUNTAS DE MOTOR,Juegos de juntas del motor,car,40,gasket-set,
Motor,PISTÓNS,Pistones del motor,car,41,piston,
Motor,JUEGO COMPLETO DE JUNTAS DE MOTOR,Juego completo de juntas del motor,car,42,gasket-set,
Motor,VOLANTE BIMASA,Volante bimasa,car,43,flywheel,
Motor,APOYO DEL CIGÜEÑAL,Apoyo del cigüeñal,car,44,bearing,
Motor,DISCOS DEL CIGÜEÑAL,Discos del cigüeñal,car,45,disk,
Motor,BLOQUE MOTOR,Bloque del motor,car,46,engine-block,
Motor,ACEITE DE MOTOR,Aceite para el motor,car,47,oil,
Motor,CÉRTER DE ACEITE,Cárter de aceite,car,48,oil-pan,
Motor,TAPON DE CÁRTER,Tapón del cárter,car,49,plug,
Motor,BOMBA DE ACEITE,Bomba de aceite del motor,car,50,oil-pump,
Motor,ARANDELA DE TAPON DE CÉRTER,Arandela del tapón del cárter,car,51,washer,
Motor,VARILLA DE ACEITE,Varilla de aceite,car,52,dipstick,
